# pcs_flux, daq_names, R/m, Z/m
 PCFL1 FL1A 1.27236154545455 0.000819022727273
 PCFL2 FL2A 1.27096297777778 0.019488466666667
 PCFL3 FL3A 1.27130230232558 0.195690441860465
 PCFL4 FL4A 1.26889035555556 0.335160311111111
 PCFL5 FL5A 1.26862787234043 0.369966276595745
 PCFL6 FL6A 1.27105688888889 0.4992704
 PCFL7 FL7A 1.26813473809524 0.623863404761905
 PCFL8 FL8A 1.26717643589744 0.704141128205128
 PCFL9 FL9A 1.27233368085106 0.897804872340426
 PCFL10 FL10A 1.27763818604651 0.985300534883721
 PCFL11 FL11A 1.33043060416667 1.115324875
 PCFL12 FL12A 1.42253922916667 1.14442577083333
 PCFL13 FL13A 2.12559233333333 0.957249833333333
 PCFL14 FL14A 2.2304 0.9002
 PCFL15 FL15A 2.352444444 0.867214286
 PCFL16 FL16A 2.4317225 0.7621275
 PCFL17 FL17A 2.54261594117647 0.581606823529412
 PCFL18 FL18A 1.27101070731707 -0.020555634146342
 PCFL19 FL19A 1.2706473877551 -0.198263816326531
 PCFL20 FL20A 1.26839551923077 -0.336600961538462
 PCFL21 FL21A 1.26875446808511 -0.371383957446809
 PCFL22 FL22A 1.27069598795181 -0.494016819277108
 PCFL23 FL23A 1.26374810344828 -0.699474137931035
 PCFL24 FL24A 1.26428196721311 -0.794346393442623
 PCFL25 FL25A 1.26842294117647 -0.97562137254902
 PCFL26 FL26A 1.29067321428571 -1.07023428571429
 PCFL27 FL27A 1.33817729166667 -1.11665270833333
 PCFL28 FL28A 1.4798646 -1.1445366
 PCFL29 FL29A 2.06773016393443 -0.896187868852459
 PCFL30 FL30A 2.20614185185185 -0.914669259259259
 PCFL31 FL31A 2.3389 -0.8775
 PCFL32 FL32A 2.43210245454545 -0.767733818181818
 PCFL33 FL33A 2.54279840425532 -0.580711276595745
 PCFL34 FL34A 2.25393025 -0.763884
 PCFL35 FL35A 2.254403 0.766213333333333
 
